n,Computer,Player,Result,Won,Tied,Lost,Won%,Tied%,Lost%,delta,delta%
1,scissors,rock,1,1,0,0,1.0,0.0,0.0,1,1.0
2,scissors,paper,-1,1,0,1,0.5,0.0,0.5,0,0.0
3,rock,paper,1,2,0,1,0.67,0.0,0.33,1,0.33
4,rock,rock,0,2,1,1,0.5,0.25,0.25,1,0.25
5,scissors,paper,-1,2,1,2,0.4,0.2,0.4,0,0.0
6,scissors,rock,1,3,1,2,0.5,0.17,0.33,1,0.17
7,rock,rock,0,3,2,2,0.43,0.29,0.29,1,0.14
8,rock,rock,0,3,3,2,0.38,0.38,0.25,1,0.12
9,scissors,rock,1,4,3,2,0.44,0.33,0.22,2,0.22
10,scissors,rock,1,5,3,2,0.5,0.3,0.2,3,0.3
11,scissors,rock,1,6,3,2,0.55,0.27,0.18,4,0.36
12,scissors,rock,1,7,3,2,0.58,0.25,0.17,5,0.42
13,scissors,paper,-1,7,3,3,0.54,0.23,0.23,4,0.31
14,scissors,rock,1,8,3,3,0.57,0.21,0.21,5,0.36
15,rock,rock,0,8,4,3,0.53,0.27,0.2,5,0.33
16,scissors,rock,1,9,4,3,0.56,0.25,0.19,6,0.38
17,rock,rock,0,9,5,3,0.53,0.29,0.18,6,0.35
18,scissors,paper,-1,9,5,4,0.5,0.28,0.22,5,0.28
19,scissors,rock,1,10,5,4,0.53,0.26,0.21,6,0.32
20,scissors,paper,-1,10,5,5,0.5,0.25,0.25,5,0.25
21,scissors,paper,-1,10,5,6,0.48,0.24,0.29,4,0.19
22,scissors,rock,1,11,5,6,0.5,0.23,0.27,5,0.23
23,rock,rock,0,11,6,6,0.48,0.26,0.26,5,0.22
24,rock,rock,0,11,7,6,0.46,0.29,0.25,5,0.21
25,scissors,paper,-1,11,7,7,0.44,0.28,0.28,4,0.16
26,scissors,paper,-1,11,7,8,0.42,0.27,0.31,3,0.12
27,rock,rock,0,11,8,8,0.41,0.3,0.3,3,0.11
28,scissors,rock,1,12,8,8,0.43,0.29,0.29,4,0.14
29,rock,rock,0,12,9,8,0.41,0.31,0.28,4,0.14
30,scissors,paper,-1,12,9,9,0.4,0.3,0.3,3,0.1
31,rock,rock,0,12,10,9,0.39,0.32,0.29,3,0.1
32,scissors,paper,-1,12,10,10,0.38,0.31,0.31,2,0.06
33,rock,paper,1,13,10,10,0.39,0.3,0.3,3,0.09
34,scissors,rock,1,14,10,10,0.41,0.29,0.29,4,0.12
35,scissors,rock,1,15,10,10,0.43,0.29,0.29,5,0.14
36,scissors,rock,1,16,10,10,0.44,0.28,0.28,6,0.17
37,scissors,paper,-1,16,10,11,0.43,0.27,0.3,5,0.14
38,scissors,rock,1,17,10,11,0.45,0.26,0.29,6,0.16
39,rock,rock,0,17,11,11,0.44,0.28,0.28,6,0.15
40,scissors,rock,1,18,11,11,0.45,0.28,0.28,7,0.17
41,rock,rock,0,18,12,11,0.44,0.29,0.27,7,0.17
42,scissors,paper,-1,18,12,12,0.43,0.29,0.29,6,0.14
43,rock,rock,0,18,13,12,0.42,0.3,0.28,6,0.14
44,scissors,rock,1,19,13,12,0.43,0.3,0.27,7,0.16
45,scissors,rock,1,20,13,12,0.44,0.29,0.27,8,0.18
46,scissors,rock,1,21,13,12,0.46,0.28,0.26,9,0.2
47,scissors,rock,1,22,13,12,0.47,0.28,0.26,10,0.21
48,scissors,rock,1,23,13,12,0.48,0.27,0.25,11,0.23
49,scissors,paper,-1,23,13,13,0.47,0.27,0.27,10,0.2
50,scissors,rock,1,24,13,13,0.48,0.26,0.26,11,0.22
51,scissors,rock,1,25,13,13,0.49,0.25,0.25,12,0.24
52,scissors,rock,1,26,13,13,0.5,0.25,0.25,13,0.25
53,rock,paper,1,27,13,13,0.51,0.25,0.25,14,0.26
54,scissors,rock,1,28,13,13,0.52,0.24,0.24,15,0.28
55,scissors,rock,1,29,13,13,0.53,0.24,0.24,16,0.29
56,scissors,rock,1,30,13,13,0.54,0.23,0.23,17,0.3
57,rock,paper,1,31,13,13,0.54,0.23,0.23,18,0.32
58,scissors,rock,1,32,13,13,0.55,0.22,0.22,19,0.33
59,scissors,rock,1,33,13,13,0.56,0.22,0.22,20,0.34
60,scissors,paper,-1,33,13,14,0.55,0.22,0.23,19,0.32
61,rock,paper,1,34,13,14,0.56,0.21,0.23,20,0.33
62,scissors,paper,-1,34,13,15,0.55,0.21,0.24,19,0.31
63,rock,rock,0,34,14,15,0.54,0.22,0.24,19,0.3
64,scissors,paper,-1,34,14,16,0.53,0.22,0.25,18,0.28
65,scissors,rock,1,35,14,16,0.54,0.22,0.25,19,0.29
66,scissors,rock,1,36,14,16,0.55,0.21,0.24,20,0.3
67,rock,rock,0,36,15,16,0.54,0.22,0.24,20,0.3
68,scissors,rock,1,37,15,16,0.54,0.22,0.24,21,0.31
69,rock,paper,1,38,15,16,0.55,0.22,0.23,22,0.32
70,scissors,rock,1,39,15,16,0.56,0.21,0.23,23,0.33
71,scissors,rock,1,40,15,16,0.56,0.21,0.23,24,0.34
72,scissors,rock,1,41,15,16,0.57,0.21,0.22,25,0.35
73,rock,rock,0,41,16,16,0.56,0.22,0.22,25,0.34
74,rock,rock,0,41,17,16,0.55,0.23,0.22,25,0.34
75,rock,rock,0,41,18,16,0.55,0.24,0.21,25,0.33
76,scissors,rock,1,42,18,16,0.55,0.24,0.21,26,0.34
77,scissors,rock,1,43,18,16,0.56,0.23,0.21,27,0.35
78,rock,rock,0,43,19,16,0.55,0.24,0.21,27,0.35
79,scissors,paper,-1,43,19,17,0.54,0.24,0.22,26,0.33
80,scissors,paper,-1,43,19,18,0.54,0.24,0.23,25,0.31
81,scissors,rock,1,44,19,18,0.54,0.23,0.22,26,0.32
82,rock,rock,0,44,20,18,0.54,0.24,0.22,26,0.32
83,scissors,paper,-1,44,20,19,0.53,0.24,0.23,25,0.3
84,scissors,rock,1,45,20,19,0.54,0.24,0.23,26,0.31
85,scissors,rock,1,46,20,19,0.54,0.24,0.22,27,0.32
86,scissors,paper,-1,46,20,20,0.53,0.23,0.23,26,0.3
87,scissors,rock,1,47,20,20,0.54,0.23,0.23,27,0.31
88,scissors,paper,-1,47,20,21,0.53,0.23,0.24,26,0.3
89,scissors,rock,1,48,20,21,0.54,0.22,0.24,27,0.3
90,scissors,rock,1,49,20,21,0.54,0.22,0.23,28,0.31
91,scissors,rock,1,50,20,21,0.55,0.22,0.23,29,0.32
92,rock,paper,1,51,20,21,0.55,0.22,0.23,30,0.33
93,scissors,rock,1,52,20,21,0.56,0.22,0.23,31,0.33
94,rock,rock,0,52,21,21,0.55,0.22,0.22,31,0.33
95,rock,rock,0,52,22,21,0.55,0.23,0.22,31,0.33
96,rock,rock,0,52,23,21,0.54,0.24,0.22,31,0.32
97,scissors,rock,1,53,23,21,0.55,0.24,0.22,32,0.33
98,scissors,rock,1,54,23,21,0.55,0.23,0.21,33,0.34
99,scissors,rock,1,55,23,21,0.56,0.23,0.21,34,0.34
100,scissors,rock,1,56,23,21,0.56,0.23,0.21,35,0.35
101,scissors,rock,1,57,23,21,0.56,0.23,0.21,36,0.36
102,scissors,rock,1,58,23,21,0.57,0.23,0.21,37,0.36
103,scissors,paper,-1,58,23,22,0.56,0.22,0.21,36,0.35
104,rock,rock,0,58,24,22,0.56,0.23,0.21,36,0.35
105,scissors,paper,-1,58,24,23,0.55,0.23,0.22,35,0.33
106,scissors,rock,1,59,24,23,0.56,0.23,0.22,36,0.34
107,scissors,rock,1,60,24,23,0.56,0.22,0.21,37,0.35
108,scissors,paper,-1,60,24,24,0.56,0.22,0.22,36,0.33
109,scissors,rock,1,61,24,24,0.56,0.22,0.22,37,0.34
110,scissors,rock,1,62,24,24,0.56,0.22,0.22,38,0.35
111,scissors,paper,-1,62,24,25,0.56,0.22,0.23,37,0.33
112,scissors,paper,-1,62,24,26,0.55,0.21,0.23,36,0.32
113,scissors,paper,-1,62,24,27,0.55,0.21,0.24,35,0.31
114,scissors,rock,1,63,24,27,0.55,0.21,0.24,36,0.32
115,scissors,rock,1,64,24,27,0.56,0.21,0.23,37,0.32
116,scissors,rock,1,65,24,27,0.56,0.21,0.23,38,0.33
117,scissors,paper,-1,65,24,28,0.56,0.21,0.24,37,0.32
118,scissors,rock,1,66,24,28,0.56,0.2,0.24,38,0.32
119,rock,rock,0,66,25,28,0.55,0.21,0.24,38,0.32
120,scissors,paper,-1,66,25,29,0.55,0.21,0.24,37,0.31
121,scissors,paper,-1,66,25,30,0.55,0.21,0.25,36,0.3
122,scissors,paper,-1,66,25,31,0.54,0.2,0.25,35,0.29
123,scissors,rock,1,67,25,31,0.54,0.2,0.25,36,0.29
124,scissors,paper,-1,67,25,32,0.54,0.2,0.26,35,0.28
125,scissors,rock,1,68,25,32,0.54,0.2,0.26,36,0.29
126,rock,rock,0,68,26,32,0.54,0.21,0.25,36,0.29
127,rock,paper,1,69,26,32,0.54,0.2,0.25,37,0.29
128,scissors,rock,1,70,26,32,0.55,0.2,0.25,38,0.3
129,scissors,rock,1,71,26,32,0.55,0.2,0.25,39,0.3
130,scissors,rock,1,72,26,32,0.55,0.2,0.25,40,0.31
131,scissors,rock,1,73,26,32,0.56,0.2,0.24,41,0.31
132,scissors,rock,1,74,26,32,0.56,0.2,0.24,42,0.32
133,rock,rock,0,74,27,32,0.56,0.2,0.24,42,0.32
134,scissors,rock,1,75,27,32,0.56,0.2,0.24,43,0.32
135,scissors,paper,-1,75,27,33,0.56,0.2,0.24,42,0.31
136,rock,paper,1,76,27,33,0.56,0.2,0.24,43,0.32
137,scissors,paper,-1,76,27,34,0.55,0.2,0.25,42,0.31
138,scissors,paper,-1,76,27,35,0.55,0.2,0.25,41,0.3
139,scissors,rock,1,77,27,35,0.55,0.19,0.25,42,0.3
140,scissors,rock,1,78,27,35,0.56,0.19,0.25,43,0.31
141,scissors,rock,1,79,27,35,0.56,0.19,0.25,44,0.31
142,scissors,rock,1,80,27,35,0.56,0.19,0.25,45,0.32
143,rock,paper,1,81,27,35,0.57,0.19,0.24,46,0.32
144,scissors,rock,1,82,27,35,0.57,0.19,0.24,47,0.33
145,rock,rock,0,82,28,35,0.57,0.19,0.24,47,0.32
146,scissors,paper,-1,82,28,36,0.56,0.19,0.25,46,0.32
147,scissors,paper,-1,82,28,37,0.56,0.19,0.25,45,0.31
148,rock,paper,1,83,28,37,0.56,0.19,0.25,46,0.31
149,rock,rock,0,83,29,37,0.56,0.19,0.25,46,0.31
150,scissors,rock,1,84,29,37,0.56,0.19,0.25,47,0.31
151,rock,rock,0,84,30,37,0.56,0.2,0.25,47,0.31
152,scissors,rock,1,85,30,37,0.56,0.2,0.24,48,0.32
153,rock,paper,1,86,30,37,0.56,0.2,0.24,49,0.32
154,scissors,rock,1,87,30,37,0.56,0.19,0.24,50,0.32
155,scissors,rock,1,88,30,37,0.57,0.19,0.24,51,0.33
156,scissors,paper,-1,88,30,38,0.56,0.19,0.24,50,0.32
157,scissors,rock,1,89,30,38,0.57,0.19,0.24,51,0.32
158,scissors,rock,1,90,30,38,0.57,0.19,0.24,52,0.33
159,scissors,paper,-1,90,30,39,0.57,0.19,0.25,51,0.32
160,scissors,rock,1,91,30,39,0.57,0.19,0.24,52,0.33
161,scissors,rock,1,92,30,39,0.57,0.19,0.24,53,0.33
162,rock,paper,1,93,30,39,0.57,0.19,0.24,54,0.33
163,rock,rock,0,93,31,39,0.57,0.19,0.24,54,0.33
164,scissors,paper,-1,93,31,40,0.57,0.19,0.24,53,0.32
165,scissors,rock,1,94,31,40,0.57,0.19,0.24,54,0.33
166,scissors,paper,-1,94,31,41,0.57,0.19,0.25,53,0.32
167,scissors,rock,1,95,31,41,0.57,0.19,0.25,54,0.32
168,rock,rock,0,95,32,41,0.57,0.19,0.24,54,0.32
169,scissors,paper,-1,95,32,42,0.56,0.19,0.25,53,0.31
170,scissors,rock,1,96,32,42,0.56,0.19,0.25,54,0.32
171,scissors,paper,-1,96,32,43,0.56,0.19,0.25,53,0.31
172,rock,rock,0,96,33,43,0.56,0.19,0.25,53,0.31
173,rock,rock,0,96,34,43,0.55,0.2,0.25,53,0.31
174,scissors,rock,1,97,34,43,0.56,0.2,0.25,54,0.31
175,rock,rock,0,97,35,43,0.55,0.2,0.25,54,0.31
176,scissors,paper,-1,97,35,44,0.55,0.2,0.25,53,0.3
177,scissors,rock,1,98,35,44,0.55,0.2,0.25,54,0.31
178,rock,rock,0,98,36,44,0.55,0.2,0.25,54,0.3
179,rock,paper,1,99,36,44,0.55,0.2,0.25,55,0.31
180,rock,paper,1,100,36,44,0.56,0.2,0.24,56,0.31
181,rock,rock,0,100,37,44,0.55,0.2,0.24,56,0.31
182,scissors,rock,1,101,37,44,0.55,0.2,0.24,57,0.31
183,rock,rock,0,101,38,44,0.55,0.21,0.24,57,0.31
184,scissors,paper,-1,101,38,45,0.55,0.21,0.24,56,0.3
185,rock,rock,0,101,39,45,0.55,0.21,0.24,56,0.3
186,rock,rock,0,101,40,45,0.54,0.22,0.24,56,0.3
187,scissors,rock,1,102,40,45,0.55,0.21,0.24,57,0.3
188,rock,rock,0,102,41,45,0.54,0.22,0.24,57,0.3
189,scissors,paper,-1,102,41,46,0.54,0.22,0.24,56,0.3
190,rock,paper,1,103,41,46,0.54,0.22,0.24,57,0.3
191,rock,rock,0,103,42,46,0.54,0.22,0.24,57,0.3
192,rock,rock,0,103,43,46,0.54,0.22,0.24,57,0.3
193,scissors,rock,1,104,43,46,0.54,0.22,0.24,58,0.3
194,scissors,rock,1,105,43,46,0.54,0.22,0.24,59,0.3
195,rock,rock,0,105,44,46,0.54,0.23,0.24,59,0.3
196,scissors,paper,-1,105,44,47,0.54,0.22,0.24,58,0.3
197,rock,rock,0,105,45,47,0.53,0.23,0.24,58,0.29
198,scissors,rock,1,106,45,47,0.54,0.23,0.24,59,0.3
199,scissors,paper,-1,106,45,48,0.53,0.23,0.24,58,0.29
200,scissors,rock,1,107,45,48,0.54,0.23,0.24,59,0.29
201,scissors,rock,1,108,45,48,0.54,0.22,0.24,60,0.3
202,scissors,rock,1,109,45,48,0.54,0.22,0.24,61,0.3
203,rock,rock,0,109,46,48,0.54,0.23,0.24,61,0.3
204,scissors,rock,1,110,46,48,0.54,0.23,0.24,62,0.3
205,rock,paper,1,111,46,48,0.54,0.22,0.23,63,0.31
206,scissors,paper,-1,111,46,49,0.54,0.22,0.24,62,0.3
207,scissors,rock,1,112,46,49,0.54,0.22,0.24,63,0.3
208,scissors,rock,1,113,46,49,0.54,0.22,0.24,64,0.31
209,scissors,rock,1,114,46,49,0.55,0.22,0.23,65,0.31
210,scissors,paper,-1,114,46,50,0.54,0.22,0.24,64,0.3
211,scissors,rock,1,115,46,50,0.55,0.22,0.24,65,0.31
212,scissors,rock,1,116,46,50,0.55,0.22,0.24,66,0.31
213,scissors,paper,-1,116,46,51,0.54,0.22,0.24,65,0.31
214,rock,rock,0,116,47,51,0.54,0.22,0.24,65,0.3
215,scissors,rock,1,117,47,51,0.54,0.22,0.24,66,0.31
216,scissors,rock,1,118,47,51,0.55,0.22,0.24,67,0.31
217,scissors,paper,-1,118,47,52,0.54,0.22,0.24,66,0.3
218,scissors,rock,1,119,47,52,0.55,0.22,0.24,67,0.31
219,scissors,rock,1,120,47,52,0.55,0.21,0.24,68,0.31
220,rock,rock,0,120,48,52,0.55,0.22,0.24,68,0.31
221,rock,paper,1,121,48,52,0.55,0.22,0.24,69,0.31
222,rock,paper,1,122,48,52,0.55,0.22,0.23,70,0.32
223,rock,paper,1,123,48,52,0.55,0.22,0.23,71,0.32
224,scissors,rock,1,124,48,52,0.55,0.21,0.23,72,0.32
225,rock,rock,0,124,49,52,0.55,0.22,0.23,72,0.32
226,rock,paper,1,125,49,52,0.55,0.22,0.23,73,0.32
227,scissors,paper,-1,125,49,53,0.55,0.22,0.23,72,0.32
228,rock,rock,0,125,50,53,0.55,0.22,0.23,72,0.32
229,rock,rock,0,125,51,53,0.55,0.22,0.23,72,0.31
230,scissors,paper,-1,125,51,54,0.54,0.22,0.23,71,0.31
231,scissors,paper,-1,125,51,55,0.54,0.22,0.24,70,0.3
232,scissors,rock,1,126,51,55,0.54,0.22,0.24,71,0.31
233,scissors,rock,1,127,51,55,0.55,0.22,0.24,72,0.31
234,scissors,rock,1,128,51,55,0.55,0.22,0.24,73,0.31
235,rock,rock,0,128,52,55,0.54,0.22,0.23,73,0.31
236,rock,rock,0,128,53,55,0.54,0.22,0.23,73,0.31
237,scissors,paper,-1,128,53,56,0.54,0.22,0.24,72,0.3
238,scissors,paper,-1,128,53,57,0.54,0.22,0.24,71,0.3
239,rock,rock,0,128,54,57,0.54,0.23,0.24,71,0.3
240,scissors,rock,1,129,54,57,0.54,0.23,0.24,72,0.3
241,rock,rock,0,129,55,57,0.54,0.23,0.24,72,0.3
242,scissors,rock,1,130,55,57,0.54,0.23,0.24,73,0.3
243,scissors,rock,1,131,55,57,0.54,0.23,0.23,74,0.3
244,rock,paper,1,132,55,57,0.54,0.23,0.23,75,0.31
245,scissors,paper,-1,132,55,58,0.54,0.22,0.24,74,0.3
246,rock,rock,0,132,56,58,0.54,0.23,0.24,74,0.3
247,scissors,paper,-1,132,56,59,0.53,0.23,0.24,73,0.3
248,rock,rock,0,132,57,59,0.53,0.23,0.24,73,0.29
249,scissors,paper,-1,132,57,60,0.53,0.23,0.24,72,0.29
250,rock,paper,1,133,57,60,0.53,0.23,0.24,73,0.29
251,scissors,paper,-1,133,57,61,0.53,0.23,0.24,72,0.29
252,scissors,paper,-1,133,57,62,0.53,0.23,0.25,71,0.28
253,rock,paper,1,134,57,62,0.53,0.23,0.25,72,0.28
254,rock,rock,0,134,58,62,0.53,0.23,0.24,72,0.28
255,rock,rock,0,134,59,62,0.53,0.23,0.24,72,0.28
256,scissors,rock,1,135,59,62,0.53,0.23,0.24,73,0.29
257,rock,rock,0,135,60,62,0.53,0.23,0.24,73,0.28
258,rock,rock,0,135,61,62,0.52,0.24,0.24,73,0.28
259,scissors,rock,1,136,61,62,0.53,0.24,0.24,74,0.29
260,scissors,rock,1,137,61,62,0.53,0.23,0.24,75,0.29
261,scissors,rock,1,138,61,62,0.53,0.23,0.24,76,0.29
262,scissors,paper,-1,138,61,63,0.53,0.23,0.24,75,0.29
263,rock,rock,0,138,62,63,0.52,0.24,0.24,75,0.29
264,scissors,paper,-1,138,62,64,0.52,0.23,0.24,74,0.28
265,scissors,paper,-1,138,62,65,0.52,0.23,0.25,73,0.28
266,scissors,rock,1,139,62,65,0.52,0.23,0.24,74,0.28
267,rock,paper,1,140,62,65,0.52,0.23,0.24,75,0.28
268,scissors,paper,-1,140,62,66,0.52,0.23,0.25,74,0.28
269,scissors,paper,-1,140,62,67,0.52,0.23,0.25,73,0.27
270,scissors,rock,1,141,62,67,0.52,0.23,0.25,74,0.27
271,scissors,paper,-1,141,62,68,0.52,0.23,0.25,73,0.27
272,scissors,rock,1,142,62,68,0.52,0.23,0.25,74,0.27
273,scissors,rock,1,143,62,68,0.52,0.23,0.25,75,0.27
274,rock,rock,0,143,63,68,0.52,0.23,0.25,75,0.27
275,scissors,rock,1,144,63,68,0.52,0.23,0.25,76,0.28
276,rock,rock,0,144,64,68,0.52,0.23,0.25,76,0.28
277,rock,rock,0,144,65,68,0.52,0.23,0.25,76,0.27
278,scissors,rock,1,145,65,68,0.52,0.23,0.24,77,0.28
279,scissors,rock,1,146,65,68,0.52,0.23,0.24,78,0.28
280,scissors,rock,1,147,65,68,0.53,0.23,0.24,79,0.28
281,rock,rock,0,147,66,68,0.52,0.23,0.24,79,0.28
282,scissors,paper,-1,147,66,69,0.52,0.23,0.24,78,0.28
283,scissors,rock,1,148,66,69,0.52,0.23,0.24,79,0.28
284,rock,rock,0,148,67,69,0.52,0.24,0.24,79,0.28
285,scissors,rock,1,149,67,69,0.52,0.24,0.24,80,0.28
286,scissors,paper,-1,149,67,70,0.52,0.23,0.24,79,0.28
287,rock,rock,0,149,68,70,0.52,0.24,0.24,79,0.28
288,scissors,rock,1,150,68,70,0.52,0.24,0.24,80,0.28
289,scissors,rock,1,151,68,70,0.52,0.24,0.24,81,0.28
290,scissors,rock,1,152,68,70,0.52,0.23,0.24,82,0.28
291,scissors,rock,1,153,68,70,0.53,0.23,0.24,83,0.29
292,rock,rock,0,153,69,70,0.52,0.24,0.24,83,0.28
293,scissors,paper,-1,153,69,71,0.52,0.24,0.24,82,0.28
294,scissors,rock,1,154,69,71,0.52,0.23,0.24,83,0.28
295,scissors,paper,-1,154,69,72,0.52,0.23,0.24,82,0.28
296,rock,rock,0,154,70,72,0.52,0.24,0.24,82,0.28
297,rock,paper,1,155,70,72,0.52,0.24,0.24,83,0.28
298,scissors,rock,1,156,70,72,0.52,0.23,0.24,84,0.28
299,scissors,rock,1,157,70,72,0.53,0.23,0.24,85,0.28
300,scissors,paper,-1,157,70,73,0.52,0.23,0.24,84,0.28
301,scissors,rock,1,158,70,73,0.52,0.23,0.24,85,0.28
302,scissors,rock,1,159,70,73,0.53,0.23,0.24,86,0.28
303,rock,rock,0,159,71,73,0.52,0.23,0.24,86,0.28
304,scissors,paper,-1,159,71,74,0.52,0.23,0.24,85,0.28
305,rock,rock,0,159,72,74,0.52,0.24,0.24,85,0.28
306,rock,rock,0,159,73,74,0.52,0.24,0.24,85,0.28
307,scissors,rock,1,160,73,74,0.52,0.24,0.24,86,0.28
308,rock,paper,1,161,73,74,0.52,0.24,0.24,87,0.28
309,rock,paper,1,162,73,74,0.52,0.24,0.24,88,0.28
310,scissors,paper,-1,162,73,75,0.52,0.24,0.24,87,0.28
311,scissors,rock,1,163,73,75,0.52,0.23,0.24,88,0.28
312,scissors,rock,1,164,73,75,0.53,0.23,0.24,89,0.29
313,rock,rock,0,164,74,75,0.52,0.24,0.24,89,0.28
314,scissors,rock,1,165,74,75,0.53,0.24,0.24,90,0.29
315,scissors,paper,-1,165,74,76,0.52,0.23,0.24,89,0.28
316,scissors,rock,1,166,74,76,0.53,0.23,0.24,90,0.28
317,scissors,rock,1,167,74,76,0.53,0.23,0.24,91,0.29
318,rock,rock,0,167,75,76,0.53,0.24,0.24,91,0.29
319,scissors,rock,1,168,75,76,0.53,0.24,0.24,92,0.29
320,rock,paper,1,169,75,76,0.53,0.23,0.24,93,0.29
321,scissors,rock,1,170,75,76,0.53,0.23,0.24,94,0.29
322,scissors,rock,1,171,75,76,0.53,0.23,0.24,95,0.3
323,scissors,rock,1,172,75,76,0.53,0.23,0.24,96,0.3
324,scissors,rock,1,173,75,76,0.53,0.23,0.23,97,0.3
325,scissors,paper,-1,173,75,77,0.53,0.23,0.24,96,0.3
326,scissors,paper,-1,173,75,78,0.53,0.23,0.24,95,0.29
327,rock,paper,1,174,75,78,0.53,0.23,0.24,96,0.29
328,rock,rock,0,174,76,78,0.53,0.23,0.24,96,0.29
329,rock,paper,1,175,76,78,0.53,0.23,0.24,97,0.29
330,scissors,rock,1,176,76,78,0.53,0.23,0.24,98,0.3
331,rock,rock,0,176,77,78,0.53,0.23,0.24,98,0.3
332,scissors,rock,1,177,77,78,0.53,0.23,0.23,99,0.3
333,rock,paper,1,178,77,78,0.53,0.23,0.23,100,0.3
334,scissors,rock,1,179,77,78,0.54,0.23,0.23,101,0.3
335,scissors,rock,1,180,77,78,0.54,0.23,0.23,102,0.3
336,scissors,rock,1,181,77,78,0.54,0.23,0.23,103,0.31
337,scissors,paper,-1,181,77,79,0.54,0.23,0.23,102,0.3
338,rock,rock,0,181,78,79,0.54,0.23,0.23,102,0.3
339,rock,rock,0,181,79,79,0.53,0.23,0.23,102,0.3
340,scissors,rock,1,182,79,79,0.54,0.23,0.23,103,0.3
341,scissors,rock,1,183,79,79,0.54,0.23,0.23,104,0.3
342,scissors,paper,-1,183,79,80,0.54,0.23,0.23,103,0.3
343,scissors,rock,1,184,79,80,0.54,0.23,0.23,104,0.3
344,scissors,rock,1,185,79,80,0.54,0.23,0.23,105,0.31
345,rock,rock,0,185,80,80,0.54,0.23,0.23,105,0.3
346,scissors,rock,1,186,80,80,0.54,0.23,0.23,106,0.31
347,scissors,rock,1,187,80,80,0.54,0.23,0.23,107,0.31
348,rock,rock,0,187,81,80,0.54,0.23,0.23,107,0.31
349,rock,rock,0,187,82,80,0.54,0.23,0.23,107,0.31
350,rock,rock,0,187,83,80,0.53,0.24,0.23,107,0.31
351,rock,rock,0,187,84,80,0.53,0.24,0.23,107,0.3
352,rock,rock,0,187,85,80,0.53,0.24,0.23,107,0.3
353,scissors,rock,1,188,85,80,0.53,0.24,0.23,108,0.31
354,scissors,rock,1,189,85,80,0.53,0.24,0.23,109,0.31
355,rock,paper,1,190,85,80,0.54,0.24,0.23,110,0.31
356,scissors,rock,1,191,85,80,0.54,0.24,0.22,111,0.31
357,scissors,rock,1,192,85,80,0.54,0.24,0.22,112,0.31
358,scissors,rock,1,193,85,80,0.54,0.24,0.22,113,0.32
359,scissors,paper,-1,193,85,81,0.54,0.24,0.23,112,0.31
360,rock,rock,0,193,86,81,0.54,0.24,0.23,112,0.31
361,scissors,rock,1,194,86,81,0.54,0.24,0.22,113,0.31
362,rock,paper,1,195,86,81,0.54,0.24,0.22,114,0.31
363,rock,rock,0,195,87,81,0.54,0.24,0.22,114,0.31
364,rock,rock,0,195,88,81,0.54,0.24,0.22,114,0.31
365,rock,paper,1,196,88,81,0.54,0.24,0.22,115,0.32
366,scissors,rock,1,197,88,81,0.54,0.24,0.22,116,0.32
367,scissors,rock,1,198,88,81,0.54,0.24,0.22,117,0.32
368,scissors,paper,-1,198,88,82,0.54,0.24,0.22,116,0.32
369,rock,paper,1,199,88,82,0.54,0.24,0.22,117,0.32
370,scissors,rock,1,200,88,82,0.54,0.24,0.22,118,0.32
371,rock,rock,0,200,89,82,0.54,0.24,0.22,118,0.32
372,rock,rock,0,200,90,82,0.54,0.24,0.22,118,0.32
373,scissors,paper,-1,200,90,83,0.54,0.24,0.22,117,0.31
374,scissors,rock,1,201,90,83,0.54,0.24,0.22,118,0.32
375,rock,rock,0,201,91,83,0.54,0.24,0.22,118,0.31
376,scissors,rock,1,202,91,83,0.54,0.24,0.22,119,0.32
377,rock,rock,0,202,92,83,0.54,0.24,0.22,119,0.32
378,scissors,rock,1,203,92,83,0.54,0.24,0.22,120,0.32
379,scissors,paper,-1,203,92,84,0.54,0.24,0.22,119,0.31
380,rock,paper,1,204,92,84,0.54,0.24,0.22,120,0.32
381,scissors,rock,1,205,92,84,0.54,0.24,0.22,121,0.32
382,scissors,paper,-1,205,92,85,0.54,0.24,0.22,120,0.31
383,scissors,rock,1,206,92,85,0.54,0.24,0.22,121,0.32
384,scissors,rock,1,207,92,85,0.54,0.24,0.22,122,0.32
385,scissors,paper,-1,207,92,86,0.54,0.24,0.22,121,0.31
386,scissors,paper,-1,207,92,87,0.54,0.24,0.23,120,0.31
387,scissors,paper,-1,207,92,88,0.53,0.24,0.23,119,0.31
388,scissors,paper,-1,207,92,89,0.53,0.24,0.23,118,0.3
389,scissors,rock,1,208,92,89,0.53,0.24,0.23,119,0.31
390,scissors,rock,1,209,92,89,0.54,0.24,0.23,120,0.31
391,scissors,rock,1,210,92,89,0.54,0.24,0.23,121,0.31
392,scissors,rock,1,211,92,89,0.54,0.23,0.23,122,0.31
393,scissors,paper,-1,211,92,90,0.54,0.23,0.23,121,0.31
394,scissors,rock,1,212,92,90,0.54,0.23,0.23,122,0.31
395,rock,rock,0,212,93,90,0.54,0.24,0.23,122,0.31
396,rock,paper,1,213,93,90,0.54,0.23,0.23,123,0.31
397,scissors,rock,1,214,93,90,0.54,0.23,0.23,124,0.31
398,scissors,rock,1,215,93,90,0.54,0.23,0.23,125,0.31
399,scissors,rock,1,216,93,90,0.54,0.23,0.23,126,0.32
